emp_no,first_name,last_name,count
70937,Katsuyuki,Miake,2
57269,Tesuro,Berztiss,2
85027,Leah,Hasham,2
91265,Somnath,Ohori,2
78427,Zeljko,Merks,2
80597,Sadok,VanScheik,2
20974,Hisao,Yavatkar,2
37227,Zhiwei,Shumilov,2
56880,Parto,Vendrig,2
20043,Chikara,Adachi,2
46340,Sangeeta,Iacovou,2
59807,Geraldo,Templeman,2
85647,Kristian,Waymire,2
59488,Saeko,Montresor,3
62758,Xiong,Kornatzky,2
38058,Khalil,Kavraki,2
79563,Golgen,Chleq,2
40313,Turgut,Staylopatis,2
61842,Kyoichi,Kriebel,2
28794,Kyoichi,Peron,2
22614,Dung,Madeira,2
27819,Vidya,Zhiwei,2
74742,Troy,Gurbaxani,2
31519,Selwyn,Angelov,2
18537,Juichirou,Kulisch,2
18290,Sigeru,Puppe,2
48396,Shounak,Jansen,2
55908,Xinglin,Ghalwash,2
26661,Kazunori,Borstler,2
12021,Chikara,Rahimi,2
85502,Selwyn,Suomi,2
44784,Mohammed,Koblick,2
59992,Huei,Bael,2
76012,Barton,Hofting,2
71806,Ramachenga,Segond,2
50320,Guenter,Pietrzykowski,2
56680,Remmert,Brender,2
74076,Taegyun,Seiwald,2
59090,Yuguang,Frezza,2
40624,JoAnna,Thimonier,2
56581,Zhenbing,Cappello,2
20860,Szabolcs,Michaels,2
91903,Rosalie,Kaiser,2
23739,Christophe,Katiyar,2
52671,Gay,Sommer,2
16066,Marsha,Penn,2
37166,Xiaobin,Pfau,2
14877,Arto,Meriste,2
52808,Jiakeng,Setia,2
55669,Shounak,Saoudi,2
80945,Rayond,Ruemmler,2
68690,Elgin,Juneja,2
51402,Vasiliy,Kuhnemann,2
59417,Anestis,Cappelletti,2
61177,Somnath,Bednarek,2
23554,Toshiki,Bail,2
10671,Parviz,Rebaine,2
44099,Shridhar,Gruenwald,2
75335,Supot,Versino,2
25108,Wanqing,Eterovic,2
20122,Subhankar,Kampfer,2
71761,Ortrud,Dahlbom,2
81005,Xiahua,Rubsam,2
86284,Fabrizio,Wrigley,2
13685,Weicheng,Hockney,2
65517,Visit,Ducloy,2
68401,Khoa,Vecchio,2
40512,Kwangjo,Melton,2
61180,Nathalie,Sullins,2
85253,Steve,Levasseur,2
26905,Fatemeh,Markovitch,2
74513,Zhigen,Rajcani,2
63077,Hyuncheol,Escriba,2
83576,Mayumi,Cronan,2
65146,Theirry,Sundgren,2
26252,Haldun,Flowers,2
52933,Gurbir,Uludag,2
89377,Marsja,Genin,2
32451,Fumiyo,Argence,2
56715,Rasiah,Gurbaxani,2
12754,Ronnie,Tetzlaff,2
88167,Aleksandar,Nivat,2
90559,Amalendu,Schlegelmilch,2
27214,Vishv,Coorg,2
19784,Zhenhua,Casley,2
82683,Pantung,Dayang,2
52958,Mizuhito,Kaminger,2
55049,Chenyi,Arlazarov,2
49555,Danae,Docker,2
81324,Marl,Rossi,2
24829,Dietrich,Wiegley,2
41628,Josyula,Claffy,2
38761,Feiyu,England,2
64891,Ioana,Pepe,2
75358,Arunas,Beznosov,2
31189,Shounak,Erdmenger,2
76612,Lakshmi,Krohn,2
17048,Christoph,Murthy,2
82850,Woody,Puoti,2
14879,Anyuan,Sigstam,2
15548,Sanjai,Caine,2
32468,Rafols,Masamoto,2
38416,Xinglin,Boyle,3
23168,Alejandra,Redmiles,2
85370,Christoph,Willoner,2
42616,LiMin,Schmiedel,2
36679,Van,Pettit,2
75994,Muzhong,Michaeli,2
24522,Shunichi,Hopewell,2
67725,Bodh,Mitchem,2
90920,Nikolaos,Bhattacharjee,2
36707,Douadi,Uhrig,2
24915,Morris,Liedekerke,2
13520,Takahiro,Mahnke,2
16706,Gad,Krone,2
71937,Phillip,Ferriere,2
79154,Nevio,Meriste,2
10477,Guoxiang,Trogemann,2
19544,Itzchak,Comte,2
31674,Jixiang,Bernini,2
88768,Lunjin,Molenkamp,2
10639,Pramod,Erol,2
24140,Basem,Thombley,3
11518,Jinxi,Oxman,2
65144,Nectarios,Deyuan,2
28369,Ronghao,Nourani,2
53640,Toshimi,Coorg,2
61287,Miyeon,Marrakchi,2
86453,Tran,Munke,2
79124,Hatsukazu,Pearson,2
48524,Danae,Wursthorn,2
86626,Sashi,Polajnar,2
34557,Junsik,Alvarado,2
51574,Manohar,Rouquie,2
93713,Angel,Servi,2
65978,Fay,Chaudhuri,2
82886,Rayond,Pettis,2
56567,Prasadram,Cmelik,2
60136,Maja,Serra,2
41293,Honglan,Lorcy,2
62480,Bedrich,Stemann,2
80286,Martial,Lubachevsky,2
36573,Xuedong,Lakshmanan,2
62693,Parviz,Cappelletti,2
86318,Djenana,Kusalik,2
59414,Yuping,Kolvik,2
66500,Chinya,Avouris,2
85692,Marin,Petersohn,2
72087,Teiji,Chartres,2
62469,Hironobu,Munch,2
51147,Alois,Gelosh,2
32590,Gil,Deyuan,2
88519,Sanjiv,Kulisch,2
28139,Theron,Merkl,2
85235,Claudi,Marchesini,2
55777,Prodip,Chorvat,2
50012,Danel,Lammel,2
28161,Kwan,Nicolson,2
69972,Zvonko,Schieder,2
36088,Conor,Gajiwala,2
22168,Miquel,Kenevan,2
42709,Niteen,Lowrie,2
93150,Piyush,Papsdorf,2
63507,Valeri,Alblas,2
57184,Takushi,Cooke,2
22234,Arno,Narwekar,2
16778,Filipp,Scallan,2
48320,Mitsuyuki,Salvesen,2
81587,Mani,Pluym,2
41184,Nikolaus,Ranze,2
79275,Perry,Perry,2
54067,Rajmohan,Ambroszkiewicz,2
34631,Mihalis,Danner,2
84762,Visit,Asrin,2
10302,Faiza,Baer,2
49754,Kish,Crelier,2
90812,Marie,Thibadeau,2
72646,Elgin,Tchuente,2
18205,Stabislas,Barreiro,2
76289,Chaitali,Kulisch,2
47611,Eldridge,Fandrianto,2
61150,Mabo,Servieres,2
24565,Larisa,Koblick,2
87274,Hilari,Gide,2
53954,Dipankar,Foong,2
87022,Mario,Eterovic,2
21890,Kamakshi,Uhrik,2
82513,Ugo,Castellani,2
76581,Munehiro,Thisen,2
14172,Vasilis,Nitsch,2
85049,Guiseppe,Hebert,2
57273,Gal,Baaleh,2
35836,Zongyan,Albarhamtoshy,2
70565,Fumiya,Bergere,2
79696,Gopalakrishnan,Vadhan,2
57676,Alper,Noriega,2
49556,Divine,Hofman,2
72398,Dines,Gulla,2
73756,Moni,Strooper,2
57919,Eckart,Fiutem,2
84563,Susanne,Koshino,2
33472,Hsiangchu,Chvatal,2
11038,Jinya,Beidas,2
38884,Arne,Dratva,2
55428,Moto,Lammel,2
12746,Heekeun,Lunn,2
31038,Arvin,Birnbaum,2
75347,Aemilian,Simmen,2
60660,Remko,Socorro,2
74695,Bluma,Yamaashi,2
78866,Olivera,Rusmann,2
60305,Ferdinand,Alpin,2
67740,Reinhard,Stifter,2
82237,Shen,Zaccaria,2
85359,Rasiah,Spinelli,2
85214,Munehiko,Thibadeau,2
28669,Bernt,Eppinger,2
45318,Franziska,Dalton,3
90859,Yaghout,Mateescu,2
87498,Rafols,Shobatake,2
66255,Chinhyun,Shanbhogue,2
49829,Behnaam,Ghandeharizadeh,2
30103,Murthy,Gini,2
71076,Huei,Rosca,2
65610,Charmane,Shackell,2
38174,Xiaobin,Peron,2
73497,Sibyl,Huhdanpaa,2
54834,Willard,Cyre,2
59128,Jianwen,Lorho,2
87697,Sanjoy,Luit,2
92593,Feipei,Kisuki,2
21639,Caolyn,Domenig,2
82708,Rajmohan,Basagni,2
41441,Pasqua,Shigei,2
15714,Troy,Bala,2
16481,Tadahiko,Rothe,2
22701,Pohua,Frezza,2
52798,Tokuyasu,Peyn,2
72092,Alper,Zaumen,2
26455,Gaetan,Luga,2
46927,Khaled,Matheson,2
32993,Yuchang,Ranta,2
54298,Taizo,Orsini,2
66574,Bernd,Murillo,2
15902,Kazuhide,Stille,2
22337,Leszek,Picci,2
51980,Feixiong,Kabayashi,2
11292,Souichi,Sichman,2
16146,Cathie,Meriste,2
78085,Bingning,Gargeya,2
14515,Kazuhisa,Versino,2
70164,Ult,Bergere,2
59333,Fay,Ratnaker,2
71046,Christ,Naumovich,2
76128,Zeydy,Eugenio,2
69325,Pranas,Dredge,2
43593,Chuanti,Zaccaria,2
21154,Aksel,Waleschkowski,2
17024,Ewing,Siepmann,2
82276,Frederique,Genin,2
80076,Pradeep,Puoti,2
39717,Josyula,Figueira,2
35879,Siddarth,Riefers,2
16365,Janalee,Mellouli,2
37427,Barna,Anandan,2
22620,Terresa,Dusink,2
51600,Lihong,Duclos,2
74779,Beshir,Thibadeau,2
77972,Bernardo,Dalphin,2
36555,Takahiro,Rothenberg,2
18333,Munehiro,Plesums,2
67233,Gad,Baalen,2
65569,Sachio,Picci,2
91608,Sachio,Osgood,2
47634,Richard,Gihr,2
61490,Shigehiro,Dayana,2
88287,Parke,Reistad,2
80536,Adel,Hebden,2
90946,Arunas,Chaudhuri,2
75727,Marko,Miculan,2
43061,Koichi,Rindone,2
25046,Mart,Cyre,2
82609,Kazuhide,Marzano,2
24363,Bowen,Biran,2
48803,Yuuichi,Bhattacharjee,2
25055,Prodip,Rahimi,2
81543,Jianhui,Ishibashi,2
17041,Nishit,Montemayor,2
58974,Wonhee,Ravishankar,2
65106,Nadjib,Hartvigsen,2
33756,Tomofumi,Redmiles,2
12368,Gor,Dechter,2
15603,Woody,Hooghiemstra,2
12089,Bilhanan,Socorro,2
50462,Shigeichiro,Aloisi,2
42221,Godehard,Fortenbacher,2
31292,Elgin,Terlouw,2
36213,Vidar,Nitto,2
30988,Zhiguo,Murtha,2
23420,Rosli,Gronowski,2
53316,Shuky,Emmart,2
73625,Fan,Smeets,2
28525,Dannz,Highland,2
35096,Gaetan,Olivero,2
29059,Arumugam,Legleitner,2
64975,Tetsushi,Itzigehl,2
65457,Laurentiu,Cesareni,2
23162,Chinya,Uludag,2
60828,Luerbio,Bugaenko,2
23557,Wanqing,Vanwelkenhuysen,2
54324,Tsutomu,Hutter,2
13730,Munehiro,Kalorkoti,2
40693,Serge,Akazan,2
22854,Trygve,Koblitz,2
40517,Hironoby,Mattern,2
32508,Lijie,Roccetti,2
82858,True,Taubman,2
58351,Chenye,Cannard,2
80862,Serenella,Improta,2
58790,Peternela,Zockler,2
55043,Noritoshi,Walston,2
10858,Kenroku,Gonthier,2
79026,Armond,Frijda,2
91652,Kasturi,Staylopatis,2
70240,Chenyi,Compeau,2
19091,Xiaocheng,Sommen,2
37864,Inderjeet,Chinin,2
49696,Sandeepan,Bondorf,2
30968,Ingemar,Karlin,2
12571,Abdelaziz,Candan,2
43806,Chenye,Fontan,2
31430,Boutros,Rabehasaina,2
88615,Weicheng,Shrader,2
35470,Satoru,Ranai,2
84995,Krassimir,Soloway,2
15911,Shaibal,Viele,2
56605,Arun,Gist,2
59543,Behnaam,Molenaar,2
38942,Danco,Xiaoshan,2
38014,Nigel,Scallan,2
83325,Taisook,Cochrane,2
78963,Shigeichiro,Marzano,2
49667,Sakthirel,Pashtan,2
92907,Kazuyasu,Marshall,2
54765,Denny,Kuhnemann,2
86927,Palash,Rothenberg,2
74897,Ayonca,Danlos,2
24334,Zhilian,Brookman,2
39366,Yuqun,Baar,2
30829,Kagan,Schaft,2
43818,Shounak,Schade,2
64372,Denny,Monarch,2
55199,Marco,Gadepally,2
21677,Zhensheng,Kavvadias,2
29507,Adel,Panwar,2
19674,Mart,Varley,2
58335,Chenye,Brodie,2
52856,Kazuhide,Speel,2
26053,Heekeun,Szmurlo,2
60349,Sasan,Peris,2
13202,Aram,Scharstein,2
71699,Ingemar,Tramer,2
81053,Fei,Quaggetto,2
43520,Shichao,Hainaut,2
28122,Arve,Skafidas,2
58694,Kasidit,Kragelund,2
58352,Soenke,Hatcliff,2
13052,Aleksandar,Schlenzig,2
37807,Apostol,Douceur,2
14217,Nimmagadda,Calkin,2
78419,Unal,Azadmanesh,2
80663,Yunming,Morrin,2
23892,Kousuke,Eterovic,2
79947,Leif,Baezner,2
16999,Bezalel,Sadowsky,2
51578,Cathie,Heydon,2
12028,Ingemar,Walstra,2
82035,Miyeon,Greenaway,2
61998,Ute,Lunn,2
12450,Sanjeeva,Perng,2
21947,Taisook,Facello,2
12755,Rildo,Rodite,2
52460,Shuzo,Rando,2
37242,Mana,Erol,2
24934,Carrsten,Bruckman,2
71362,Cathie,Mellouli,2
42953,Emdad,Erev,2
22682,Kristina,Ananiadou,2
65113,Arif,Brender,2
67367,Karlis,Birch,2
71307,Tadahiro,Bade,2
57821,Alejandra,Bolotov,2
56424,Premsyl,Antonisse,2
40825,Yannis,Dusink,2
74084,Hatem,Vasanthakumar,2
34050,Youjian,Angot,2
33392,Aloke,Rothenberg,2
88009,Fumiya,Varker,2
73548,Margareta,Pena,2
62164,Mariusz,Cusworth,2
39684,Kokou,Dratva,2
53607,Moheb,Lorch,2
62858,Ebru,Tempesti,2
45985,Amstein,Lichtner,2
19154,Inderjeet,Denna,2
59505,Franziska,Pagter,2
52602,Giao,Coors,2
86534,Mohua,Staudhammer,2
28504,Boalin,Peng,2
76580,Berto,Sinicrope,2
24705,Luisa,Jervis,2
62226,Renee,Kroll,2
92972,Marjo,Ramamoorthy,2
88586,Rafols,Rosch,2
28739,Elliott,Wixon,2
45397,Jahangir,Speckmann,2
73512,Shan,Slobodova,2
16782,Premsyl,Redmiles,2
35526,Claude,McFarlin,2
81352,Odysseas,Narwekar,2
74514,Rosalyn,Benzmuller,2
27505,Iara,Katzenelson,2
45510,Nahum,Orsini,2
26043,Ortrun,Zielinski,2
67359,Yongmin,Strooper,2
90236,Susuma,Norsworthy,2
89179,Weijing,Kranzdorf,2
25102,Ramalingam,Bednarek,2
43311,Hongzue,Chinal,2
88584,Sakthirel,Rikino,2
61892,Kwangho,Gecseg,2
25371,Goh,Ishibashi,2
25980,Otilia,Vanwelkenhuysen,2
31380,Sastry,Coullard,2
39747,Pohua,Montresor,2
43219,Moni,Krichel,2
80639,Uma,Mahnke,2
22228,Mountaz,Gladwell,2
87454,Terresa,Veeraraghavan,2
59659,Leandro,Munke,2
80279,Berhard,Carrera,2
22887,Arno,Henseler,2
49091,Mabry,Papadias,2
58073,Jianwen,Vecchio,2
26599,Katsuo,Armand,2
57721,Aral,Weedman,2
54473,Aiman,Benaini,2
37944,Fun,Byoun,2
25692,Lein,Unno,2
37850,Bikash,Underwood,2
23678,Saniya,Journel,2
63965,Snehasis,Avouris,2
28852,Kasturi,Perna,2
25370,Jagoda,Puoti,2
58346,Ibibia,Lambe,2
66073,Zhongwei,Marrevee,2
48985,Divine,Ozeki,2
26442,Mingsen,Cromarty,2
21822,Uma,Sabnani,2
15183,Vasiliy,Whitcomb,2
82287,Duri,Suri,2
23442,Vesna,Rindone,2
33288,Hinrich,Fetvedt,2
38941,Yurij,Turnbull,2
83232,Satyanarayana,Chimia,2
34730,Jiong,Terwilliger,2
31215,Constantine,Schaft,2
80962,Ute,Broder,2
77659,Owen,Sridhar,2
15005,Kiam,Sadowsky,2
64636,Gina,Muhlberg,2
87359,Sadok,Bael,2
24951,Fayez,Kirkerud,2
34877,Claudi,Kobara,2
11079,Piyush,Garigliano,2
73880,Katsuyuki,Gente,3
37103,Kazuhira,Pileggi,3
25705,Cathie,Iacovou,2
87857,Anneli,Poehlman,2
42930,Izaskun,Berztiss,2
53150,Kiyotoshi,Kakkad,2
76268,Aamer,Lorcy,2
89448,Vidya,Akiyama,2
28734,Arvind,Heydon,2
51363,Georgy,Sundgren,2
57210,Odinaldo,Veccia,2
21541,Mahendra,Krupka,2
83887,Doohun,Ciolek,2
11459,Duke,Suomi,2
66208,Kristof,Ranka,2
82401,Fen,Ruemmler,2
37675,Chikara,Marshall,2
36925,Suvo,Brizzi,2
46664,Toshimori,Benveniste,2
77232,Kinh,Krogh,2
63017,Moni,Picel,2
20534,Rosita,Kalloufi,2
25632,Arunachalam,Ramamoorthy,2
55851,Guadalupe,Velardi,2
86935,Junichi,Zhiwei,2
62513,Gil,Bojadziev,2
56533,Neven,Barinka,2
27772,Shahaf,Salvesen,2
64917,Mokhtar,Litecky,2
88491,Mabry,Swiler,2
65392,Poorav,Aseltine,2
52897,Arnd,Isaac,2
26921,Shin,Worfolk,2
46471,Zeydy,Miake,2
21157,Jouko,Demos,2
40672,Yinlin,Pfau,2
42080,Goncalo,Kalorkoti,2
18382,Remko,Mattern,2
73318,Elliott,Highland,2
23536,Nagui,Vural,2
78652,Yahiko,Fortenbacher,3
13161,Manu,Picci,2
46611,Katsuo,Leuchs,2
12815,Sushant,Junot,2
73703,Jackson,Lorho,2
61755,Trygve,Eppinger,2
78406,Tze,Maquelin,2
66859,Ymte,Halloran,2
85111,Sastry,Kavraki,2
28997,Persi,Ramsay,2
38480,Yuriy,Zaccaria,2
35417,Gopalakrishnan,Schach,2
67159,Mokhtar,Zykh,2
38520,Leandro,Akiyama,2
80869,Ishfaq,Randi,2
21527,DeForest,Yurov,2
70673,Itzchak,Zaccaria,2
23220,Christoper,Back,2
13930,Sukumar,Chartres,2
61706,Stevo,Butner,2
89232,Remzi,Herath,2
76689,Mansur,Steinauer,2
80195,Sorina,Peral,2
86952,Richard,Oskamp,2
54621,Sven,Murrill,2
53090,Kazuhisa,Furedi,2
20006,Geoff,Birnbaum,2
91018,Vitali,Binding,2
81422,Yuichiro,Pleszkun,2
70674,Koichi,Rahimi,2
92904,Bluma,Kusalik,2
82255,Amabile,Sudbeck,2
43710,Christfried,Merey,2
19037,Lucien,Bernardeschi,2
29633,Oscal,Gelosh,2
58000,Nahid,Glowinski,2
27365,Mang,Morris,2
76886,Shaw,Makrucki,2
45607,Hinrich,Beznosov,2
36870,Jianhao,Luff,2
89812,Boriana,Vingron,2
46838,Yakichi,Marzano,2
16088,Golgen,Gammage,2
47567,Marc,Pouyioutas,2
30846,Nidapan,Montresor,2
71750,Berhard,Eppinger,2
18917,Xiaoqiang,Castellani,2
39971,Odoardo,Antonisse,2
80328,Satyanarayana,Basart,2
87442,Marjo,Jeong,2
18989,Goh,Quittner,2
11233,Sanjit,Waschkowski,2
11751,Jiafu,Emiris,2
85921,Shin,Puoti,2
52085,Shaowei,Taneja,2
83696,Satosi,Passafiume,2
45788,Shiv,Mitsuhashi,3
37808,Kwangsub,Katzenelson,2
45311,Zengping,Talmor,2
40070,Arco,Schade,2
77871,Ger,Seiwald,2
27708,Dayanand,Gill,2
21851,Falguni,Budinsky,2
19675,Isamu,Herath,2
87260,Evgueni,Mateescu,2
49342,Xumin,Mungall,2
12222,Abdelwaheb,Holburn,2
33743,Bodh,Junet,2
39981,Renee,Biran,2
50281,Guttorm,Furudate,2
48465,Shuji,Renear,2
83125,Frederique,Staudhammer,2
36143,Udi,Gips,2
63564,Subbu,Poulakidas,2
44382,Gonzalo,Schapire,2
68600,Mayuko,Lorin,2
58830,Uzi,Cunliffe,2
31706,Howell,Redmiles,2
44886,Poornachandra,Kuszyk,2
70974,Girolamo,Xiaoshan,2
83068,Cristinel,Kawashima,2
18040,Franziska,Nitsche,2
13586,Abdelwaheb,Klassen,2
91837,Khosrow,Vigier,2
86852,Lijie,McFarlin,2
23817,Duri,Coorg,2
91541,Slavian,McFarlin,2
81549,Takahira,Leslie,2
88298,Shuji,Vidya,2
26708,Masoud,Zykh,2
63271,Danny,Haumacher,2
54471,Kotesh,Schiettecatte,2
59904,Subhada,Skafidas,2
90983,Gererd,Openshaw,2
49762,Heeju,Uchoa,2
20408,Debatosh,Smailagic,2
87568,Erez,Usery,2
21627,Sigeru,Spell,2
29513,Genki,Cusworth,2
71433,Mayuko,Conia,2
88865,Lalit,Peng,2
78195,Suvo,Hofting,2
74199,Otilia,Speckmann,2
28981,Dipayan,Bernardinello,2
89444,Marl,Perry,3
92415,Zorica,Lemarechal,2
72120,Siamak,Uchoa,2
79795,Visit,Milicic,2
84595,Xiaopeng,Christianini,2
34122,DeForest,Rossi,2
10777,Mizuhito,Kemmerer,2
61460,Sanjoy,Rodham,2
88585,Ramzi,Klerer,2
28468,Zorica,Hasham,2
11449,Kotesh,Asser,2
48425,Junsik,Bierman,2
20144,Zhensheng,Radivojevic,2
17215,Junichi,Langford,2
50537,Kristin,Lores,2
24154,Khaled,Hashii,2
38446,Sergi,Brattka,2
54044,Yuuichi,Muhling,2
53642,Navin,Erdi,2
86103,Zhiguo,Asmuth,2
37909,Kitty,Terekhov,2
50016,Weicheng,Serna,2
58824,Claudi,Baalen,2
55682,Moto,Hanabata,2
41422,Franziska,Ramamoorthy,2
36321,Gilbert,Syang,2
82663,Doowon,Baaz,2
23644,Roddy,Tyugu,2
34540,Vasilis,Kranzdorf,2
17448,Makato,Belinskaya,2
33272,Sanjit,Rotem,2
91778,Fumiya,Coullard,2
68879,Baoqiu,Panangaden,2
62821,Tomokazu,Munke,2
74406,Jaber,Tzvieli,2
36173,Rance,Takkinen,2
32233,Kenroku,Benveniste,2
75236,Supot,Lorin,2
20558,Toong,Panangaden,2
11994,Sigeru,Fiebach,2
29583,Subhada,Waymire,2
16272,Shuho,Zeleznik,3
86973,Shao,Honiden,2
39970,Sachar,Sgarro,2
90522,IEEE,Beerel,2
47814,Boguslaw,Polajnar,2
44449,Moon,Hegner,2
41835,Elliott,Rosin,2
56235,Subir,Vanwelkenhuysen,2
19728,Candido,Ramsey,2
72518,Nakhoon,Lamba,2
49030,Monique,Thombley,2
28243,Marsal,Jording,2
86062,Zengping,Anido,2
87731,Stepehn,Radwan,2
42042,Serif,Serna,2
15343,Chaosheng,Luce,2
68169,Tomokazu,Eickenmeyer,2
70726,Sadun,Cronan,2
93447,Gregory,Standera,2
47812,Jeane,Basart,2
23598,Sashi,Dayana,2
30557,Goncalo,Manders,2
23862,Guangming,Zaiane,2
17849,Mandell,Varker,2
53056,Yongmin,Rullman,2
65674,Cathie,Sadowski,2
54536,Ennio,Hanratty,2
76885,Heather,Snedden,2
10228,Karoline,Cesareni,2
54329,Foong,Jeong,2
25804,Krisda,Vesna,2
82220,Tristan,Monkewich,2
87047,True,Beilner,2
42520,Frazer,Wiegley,2
79210,Mansur,Antonakopoulos,2
85669,Yishay,Denis,2
50478,Leni,Benzmuller,2
53674,Mong,Babu,2
64686,Kolar,Litzler,2
48568,Subir,Remmele,2
89785,Amabile,Beerel,2
48646,Owen,Luby,2
23342,Xinglin,Berendt,2
27506,Hugo,Mitchem,2
60889,Charlene,Heemskerk,2
71773,Leen,Ebeling,2
69493,Odoardo,Greibach,2
45069,Lenore,Valette,2
36073,Shirish,Gire,2
36413,Sadun,Wilfing,2
67101,Menkae,Christ,2
55781,Ymte,Lalonde,2
57307,Vojin,Vilarrasa,2
67123,Chaoyi,Horswill,2
79546,Ishfaq,Heydon,2
80984,Arunas,Emmart,2
12413,Hugh,Gadepally,2
56528,Uinam,Heijenga,2
90499,Eberhardt,Bellmore,2
60713,Constantine,Birta,2
70056,Takanari,Zlotek,2
79401,Zvonko,Bage,2
28224,Debatosh,Crabtree,2
